id,slug,name,category_name,brand_name,base_price,short_description,thumbnail_url,is_featured,item_type,rating,stock,tags
4c9a89e6-53ff-5da7-9d95-2a668d2c51b0,laptop-aero-14,Laptop Aero 14,electronics,nova-tech,28990000,"Laptop Aero 14 thuoc nhom electronics, phu hop demo laptop voi tags laptop, ultrabook, office.",https://images.unsplash.com/laptop-aero-14?auto=format&fit=crop&w=800&q=80,true,laptop,4.8,18,laptop|ultrabook|office
39ca8a18-d5ff-5ebc-89b3-0c00c8f6fc0b,laptop-studio-pro-16,Laptop Studio Pro 16,electronics,nova-tech,35990000,"Laptop Studio Pro 16 thuoc nhom electronics, phu hop demo laptop voi tags laptop, creator, performance.",https://images.unsplash.com/laptop-studio-pro-16?auto=format&fit=crop&w=800&q=80,true,laptop,4.9,12,laptop|creator|performance
91e06fce-5a20-5666-8add-036064233c58,mobile-aurora-x5,Mobile Aurora X5,electronics,aurora-mobile,12990000,"Mobile Aurora X5 thuoc nhom electronics, phu hop demo mobile voi tags mobile, 5g, camera.",https://images.unsplash.com/mobile-aurora-x5?auto=format&fit=crop&w=800&q=80,true,mobile,4.7,28,mobile|5g|camera
5cb8fc78-29f5-5ca2-b57d-da193e471a32,mobile-aurora-lite-5g,Mobile Aurora Lite 5G,electronics,aurora-mobile,7990000,"Mobile Aurora Lite 5G thuoc nhom electronics, phu hop demo mobile voi tags mobile, budget, 5g.",https://images.unsplash.com/mobile-aurora-lite-5g?auto=format&fit=crop&w=800&q=80,false,mobile,4.5,35,mobile|budget|5g
289afe45-8c1a-5ec8-8d4f-f0ba41500a5a,tablet-flex-tab-11,Tablet Flex Tab 11,electronics,nova-tech,10990000,"Tablet Flex Tab 11 thuoc nhom electronics, phu hop demo tablet voi tags tablet, study, entertainment.",https://images.unsplash.com/tablet-flex-tab-11?auto=format&fit=crop&w=800&q=80,false,tablet,4.6,20,tablet|study|entertainment
e92d810b-7bac-5782-b3ed-2223d756de71,headphones-wavebuds-pro,Headphones WaveBuds Pro,electronics,nova-tech,2490000,"Headphones WaveBuds Pro thuoc nhom electronics, phu hop demo headphones voi tags audio, wireless, noise-cancelling.",https://images.unsplash.com/headphones-wavebuds-pro?auto=format&fit=crop&w=800&q=80,false,headphones,4.4,40,audio|wireless|noise-cancelling
94d6af4f-6b77-54cd-a78e-b0ab5824634a,smartwatch-pulse-s2,Smartwatch Pulse S2,electronics,aurora-mobile,3190000,"Smartwatch Pulse S2 thuoc nhom electronics, phu hop demo smartwatch voi tags smartwatch, fitness, wearable.",https://images.unsplash.com/smartwatch-pulse-s2?auto=format&fit=crop&w=800&q=80,false,smartwatch,4.3,22,smartwatch|fitness|wearable
9a61f12f-ffc3-595a-ba60-15b9d3f28722,air-conditioner-coolbreeze-inverter,Air Conditioner CoolBreeze Inverter,home_appliances,polar-home,13490000,"Air Conditioner CoolBreeze Inverter thuoc nhom home_appliances, phu hop demo air_conditioner voi tags air-conditioner, inverter, cooling.",https://images.unsplash.com/air-conditioner-coolbreeze-inverter?auto=format&fit=crop&w=800&q=80,true,air_conditioner,4.7,11,air-conditioner|inverter|cooling
767fafdc-c862-5256-a9d1-1b3cb4675ebe,refrigerator-frostmax-360l,Refrigerator FrostMax 360L,home_appliances,polar-home,15990000,"Refrigerator FrostMax 360L thuoc nhom home_appliances, phu hop demo refrigerator voi tags refrigerator, family, inverter.",https://images.unsplash.com/refrigerator-frostmax-360l?auto=format&fit=crop&w=800&q=80,true,refrigerator,4.8,9,refrigerator|family|inverter
634add95-ecf4-5343-aa40-24ac3d2053f3,washing-machine-cleanwave-10kg,Washing Machine CleanWave 10kg,home_appliances,polar-home,9990000,"Washing Machine CleanWave 10kg thuoc nhom home_appliances, phu hop demo washing_machine voi tags washing-machine, laundry, home.",https://images.unsplash.com/washing-machine-cleanwave-10kg?auto=format&fit=crop&w=800&q=80,false,washing_machine,4.5,14,washing-machine|laundry|home
